model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Fiesta,2017,Automatic,15944,Petrol,150.0,57.7,1.0,12000
 Focus,2018,Manual,9083,Petrol,150.0,57.7,1.0,14000
 Focus,2017,Manual,12456,Petrol,150.0,57.7,1.0,13000
 Fiesta,2019,Manual,10460,Petrol,145.0,40.3,1.5,17500
 Fiesta,2019,Automatic,1482,Petrol,145.0,48.7,1.0,16500
 Fiesta,2015,Manual,35432,Petrol,145.0,47.9,1.6,10500
 Puma,2019,Manual,2029,Petrol,145.0,50.4,1.0,22500
 Fiesta,2017,Manual,13054,Petrol,145.0,54.3,1.2,9000
 Kuga,2019,Automatic,6894,Diesel,145.0,42.2,2.0,25500
 Focus,2018,Manual,48141,Petrol,145.0,61.4,1.0,10000
 Fiesta,2018,Manual,18803,Petrol,145.0,56.5,1.0,11561
 EcoSport,2018,Manual,12065,Petrol,145.0,54.3,1.0,13500
 Fiesta,2017,Manual,20978,Petrol,0.0,65.7,1.0,11000
 Kuga,2018,Semi-Auto,9002,Diesel,145.0,54.3,2.0,17999
 Kuga,2018,Semi-Auto,8970,Diesel,145.0,58.9,1.5,18999
 Kuga,2018,Manual,12810,Diesel,145.0,64.2,1.5,14399
 Kuga,2019,Manual,10428,Diesel,145.0,38.2,2.0,17999
 Kuga,2018,Manual,14680,Diesel,145.0,54.3,2.0,16899
 Fiesta,2017,Manual,12427,Petrol,20.0,62.8,1.0,10999
 Fiesta,2019,Manual,25521,Petrol,145.0,55.4,1.0,12500
 Fiesta,2018,Manual,20400,Petrol,145.0,55.4,1.1,9499
 Fiesta,2017,Manual,24926,Petrol,145.0,65.7,1.0,10500
 Fiesta,2017,Manual,26163,Petrol,145.0,65.7,1.0,8995
 Kuga,2014,Manual,59000,Diesel,160.0,47.9,2.0,8995
 Fiesta,2014,Manual,35299,Petrol,0.0,65.7,1.0,6795
 Focus,2017,Manual,13063,Petrol,145.0,41.5,2.0,18499
 C-MAX,2018,Manual,23800,Diesel,145.0,68.9,1.5,11799
 Fiesta,2015,Manual,25935,Petrol,0.0,65.7,1.0,8299
 Fiesta,2018,Manual,8700,Petrol,145.0,58.9,1.0,12499
 Fiesta,2017,Manual,25000,Petrol,125.0,54.3,1.2,8699
 Fiesta,2016,Manual,60730,Diesel,0.0,78.5,1.5,7999
 Fiesta,2017,Manual,18561,Petrol,145.0,54.3,1.2,8991
 Focus,2019,Manual,8400,Petrol,145.0,60.1,1.0,18990
 Fiesta,2013,Manual,39090,Petrol,0.0,65.7,1.0,7236
 Kuga,2018,Semi-Auto,33149,Diesel,145.0,58.9,1.5,15287
 Mondeo,2019,Manual,24,Diesel,145.0,65.7,2.0,20000
 EcoSport,2020,Manual,558,Petrol,145.0,53.3,1.0,20000
 Kuga,2019,Manual,3259,Diesel,145.0,39.2,2.0,21378
 Fiesta,2018,Manual,15100,Petrol,145.0,65.7,1.0,9814
 Ka+,2018,Manual,25000,Petrol,145.0,57.7,1.2,8261
 Fiesta,2017,Manual,15612,Petrol,145.0,65.7,1.0,8788
 Fiesta,2018,Manual,8920,Petrol,145.0,58.9,1.0,12251
 Kuga,2017,Manual,24803,Diesel,145.0,60.1,2.0,16320
