,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned,Screen-Full_HD,Screen-IPS_panel
1,0.0,0,Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,Low,0,1
2,1.0,1,Dell,3,1,1,3,15.600000000000001,0.6896551724137931,4,256,4.851000000000001,634,Low,1,0
3,2.0,2,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,946,Low,1,0
4,3.0,3,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,128,2.6901,1244,Low,0,1
5,4.0,4,HP,4,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.21155,837,Low,1,0
6,5.0,5,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,1016,Low,1,0
7,6.0,6,HP,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.6305000000000005,1117,Low,1,0
8,7.0,7,Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,Low,0,1
9,8.0,8,Dell,3,1,1,5,15.600000000000001,0.8620689655172414,4,256,5.0714999999999995,812,Low,1,0
10,9.0,9,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,Low,0,1
11,10.0,10,Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.69665,975,Low,1,0
12,11.0,11,HP,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.21155,558,Low,1,0
13,12.0,12,Asus,3,2,2,3,15.600000000000001,0.6896551724137931,4,256,4.41,527,Low,1,0
14,13.0,13,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,Low,1,0
15,14.0,14,Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,Low,1,0
16,15.0,15,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.1013,876,Low,1,0
17,16.0,16,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,Low,0,1
18,17.0,17,Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.851000000000001,1105,Low,1,0
19,18.0,18,Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,Low,0,1
20,19.0,19,HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,Low,1,0
21,20.0,20,HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,Low,0,1
22,21.0,21,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.3218,761,Low,1,0
23,22.0,22,Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,Medium,0,1
24,23.0,23,Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.84325,1518,Low,1,0
25,24.0,24,Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,Low,1,0
26,25.0,25,Dell,3,1,2,3,15.600000000000001,0.6896551724137931,4,256,4.851000000000001,616,Low,1,0
27,26.0,26,Asus,3,3,1,3,15.600000000000001,0.8275862068965517,6,256,4.41,733,Low,1,0
28,27.0,27,HP,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.21155,913,Low,1,0
29,28.0,28,HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0429,1421,Low,0,1
30,29.0,29,HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.106221030042918,837,Low,0,1
31,30.0,30,Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.8665000000000003,1515,Low,0,1
32,31.0,31,Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.4839,1880,Medium,0,1
33,32.0,32,Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.66805,2069,Medium,0,1
34,33.0,33,Asus,3,3,1,7,15.600000000000001,0.6206896551724138,8,256,3.7485,1420,Low,1,0
35,34.0,34,HP,3,2,1,5,17.3,0.5517241379310345,8,256,5.5125,1179,Low,1,0
36,35.0,35,Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.5280000000000005,1123,Low,0,1
37,36.0,36,Acer,3,3,1,3,15.600000000000001,0.9310344827586208,4,256,4.851000000000001,727,Low,1,0
38,37.0,37,HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.59415,1255,Low,1,0
39,38.0,38,HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.106221030042918,888,Low,0,1
40,39.0,39,Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.85875,1418,Low,0,1
41,40.0,40,Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.75625,1396,Low,1,0
42,41.0,41,HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2634,1374,Low,1,0
43,42.0,42,HP,3,1,1,5,15.600000000000001,0.5517241379310345,6,256,4.21155,786,Low,1,0
44,43.0,43,Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.615,1023,Low,0,1
45,44.0,44,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.69665,925,Low,1,0
46,45.0,45,Lenovo,1,3,1,7,15.0,0.9655172413793103,16,256,5.5125,1371,Low,0,1
47,46.0,46,Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.615,1085,Low,0,1
48,47.0,47,Huawei,4,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,1714,Medium,0,1
49,48.0,48,HP,3,3,1,5,17.3,0.5517241379310345,8,256,5.5125,1172,Low,1,0
50,49.0,49,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,4.106221030042918,1777,Medium,1,0
51,50.0,50,Acer,4,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.4696000000000002,1256,Low,0,1
52,51.0,51,HP,3,3,1,7,17.3,0.6206896551724138,8,256,5.5125,1327,Low,1,0
53,52.0,52,Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.646,1841,Medium,1,0
54,53.0,53,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1184,Low,0,1
55,54.0,54,HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.59415,1310,Low,1,0
56,55.0,55,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,1460,Low,1,0
57,56.0,56,Dell,3,1,2,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,860,Low,1,0
58,57.0,57,Toshiba,4,2,1,7,13.299999999999999,0.8620689655172414,8,256,2.646,1731,Medium,1,0
59,58.0,58,Acer,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,1057,Low,1,0
60,59.0,59,Asus,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.41,977,Low,1,0
61,60.0,60,Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.5280000000000005,1091,Low,1,0
62,61.0,61,Dell,3,1,2,7,15.600000000000001,0.9310344827586208,16,256,4.106221030042918,1142,Low,1,0
63,62.0,62,Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1075,Low,0,1
64,63.0,63,Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.6448,1117,Low,1,0
65,64.0,64,Asus,1,3,1,7,17.3,1.0,16,256,7.938000000000001,3810,High,1,0
