,Unnamed: 0.1,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_in,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_lbs,Price,Price-binned,Screen_Full-HD,Screen_IPS-Panel
0,0,0,Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.53,978,Low,False,True
1,1,1,Dell,3,1,1,3,15.6,0.6896551724137931,4,256,4.85,634,Low,True,False
2,2,2,Dell,3,1,1,7,15.6,0.9310344827586208,8,256,4.85,946,Low,True,False
3,3,3,Dell,4,2,1,5,13.3,0.5517241379310345,8,128,2.69,1244,Low,False,True
4,4,4,HP,4,2,1,7,15.6,0.6206896551724138,8,256,4.21,837,Low,True,False
5,5,5,Dell,3,1,1,5,15.6,0.5517241379310345,8,256,4.85,1016,Low,True,False
6,6,6,HP,3,3,1,5,15.6,0.5517241379310345,8,256,4.63,1117,Low,True,False
7,7,7,Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.85,866,Low,False,True
8,8,8,Dell,3,1,1,5,15.6,0.8620689655172414,4,256,5.07,812,Low,True,False
9,9,9,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.85,1068,Low,False,True
10,10,10,Dell,3,1,1,7,15.6,0.6206896551724138,8,256,4.7,975,Low,True,False
11,11,11,HP,3,2,1,3,15.6,0.6896551724137931,4,128,4.21,558,Low,True,False
12,12,12,Asus,3,2,2,3,15.6,0.6896551724137931,4,256,4.41,527,Low,True,False
13,13,13,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.75,1117,Low,True,False
14,14,14,Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.09,1195,Low,True,False
15,15,15,HP,3,2,1,5,15.6,0.8620689655172414,8,256,4.1,876,Low,True,False
16,16,16,Dell,4,1,1,7,13.0,0.6206896551724138,8,256,3.09,1213,Low,False,True
17,17,17,Dell,3,1,1,7,15.6,0.6206896551724138,8,256,4.85,1105,Low,True,False
18,18,18,Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.15,1392,Low,False,True
19,19,19,HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59,1092,Low,True,False
20,20,20,HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.04,888,Low,False,True
21,21,21,HP,3,2,1,5,15.6,0.8620689655172414,8,256,4.32,761,Low,True,False
22,22,22,Dell,4,2,1,7,13.0,0.6206896551724138,8,256,2.67,2095,Medium,False,True
23,23,23,Dell,1,3,1,5,15.6,0.8620689655172414,8,256,5.84,1518,Low,True,False
24,24,24,Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.76,1333,Low,True,False
25,25,25,Dell,3,1,2,3,15.6,0.6896551724137931,4,256,4.85,616,Low,True,False
26,26,26,Asus,3,3,1,3,15.6,0.8275862068965517,6,256,4.41,733,Low,True,False
27,27,27,HP,3,1,1,7,15.6,0.9310344827586208,8,256,4.21,913,Low,True,False
28,28,28,HP,4,3,1,7,13.0,0.9310344827586208,8,256,3.04,1421,Low,False,True
29,29,29,HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.11,837,Low,False,True
30,30,30,Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.87,1515,Low,False,True
31,31,31,Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.48,1880,Medium,False,True
32,32,32,Dell,4,2,1,5,13.0,0.5517241379310345,8,256,2.67,2069,Medium,False,True
33,33,33,Asus,3,3,1,7,15.6,0.6206896551724138,8,256,3.75,1420,Low,True,False
34,34,34,HP,3,2,1,5,17.3,0.5517241379310345,8,256,5.51,1179,Low,True,False
35,35,35,Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.53,1123,Low,False,True
36,36,36,Acer,3,3,1,3,15.6,0.9310344827586208,4,256,4.85,727,Low,True,False
37,37,37,HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.59,1255,Low,True,False
38,38,38,HP,3,2,1,5,13.0,0.8620689655172414,4,256,4.11,888,Low,False,True
39,39,39,Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.86,1418,Low,False,True
40,40,40,Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.76,1396,Low,True,False
41,41,41,HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.26,1374,Low,True,False
42,42,42,HP,3,1,1,5,15.6,0.5517241379310345,6,256,4.21,786,Low,True,False
43,43,43,Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.62,1023,Low,False,True
44,44,44,Dell,3,1,1,5,15.6,0.5517241379310345,8,256,4.7,925,Low,True,False
45,45,45,Lenovo,1,3,1,7,15.0,0.9655172413793104,16,256,5.51,1371,Low,False,True
46,46,46,Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.62,1085,Low,False,True
47,47,47,Huawei,4,2,1,5,13.0,0.8620689655172414,8,256,2.32,1714,Medium,False,True
48,48,48,HP,3,3,1,5,17.3,0.5517241379310345,8,256,5.51,1172,Low,True,False
49,49,49,Dell,4,2,1,5,13.3,0.5517241379310345,8,256,4.11,1777,Medium,True,False
50,50,50,Acer,4,2,1,5,13.0,0.4137931034482758,8,256,2.47,1256,Low,False,True
51,51,51,HP,3,3,1,7,17.3,0.6206896551724138,8,256,5.51,1327,Low,True,False
52,52,52,Dell,4,2,1,7,13.3,0.6206896551724138,8,256,2.65,1841,Medium,True,False
53,53,53,Dell,4,1,1,7,13.0,0.6206896551724138,8,256,3.09,1184,Low,False,True
54,54,54,HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.59,1310,Low,True,False
55,55,55,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.53,1460,Low,True,False
56,56,56,Dell,3,1,2,5,15.6,0.5517241379310345,8,256,4.85,860,Low,True,False
57,57,57,Toshiba,4,2,1,7,13.3,0.8620689655172414,8,256,2.65,1731,Medium,True,False
